Carimbo de data/hora,Nome do Jornal ou Revista,Estado da federação da publicação,Título do texto,Data da publicação,Nome do autor do texto,Povo ou terra indígena mencionado,"Nomes de empresas, fazendas ou indivíduos mencionados",Entrevista algum indígena?,Qual o nome do indígena entrevistado?,Há não-indígena entrevistado?,Nome do não-indígena entrevistado,Cargo ou profissão do não-indígena entrevistado,"Se houver, evento mencionado (violência, crimes, etc)",Link da notícia
26/04/2023 20:58:12,Porantim Ano IV No. 29,AM,"""Projeto integrado"" divide os Potiguara",01/05/1981,Giovanni Salomão,,Comissão Pró-Índio de SP; Lundgren (Casas Pernambucanas); Pessoa de Mello (Usineiros de Pernambuco);,Sim,José Augusto,Não,,,"Afirma que a usina de Pessoa de Mello, implantada na área co certidão negativa poluiu o rio;",https://www.docvirt.com/docreader.net/HemeroIndio/3369
24/05/2023 18:27:49,A Crítica,,Deputado alerta governo sobre portaria da FUNAI,25/04/1981,,,Dep. Mário Frota (PMDB),Não,,Sim,Dep. Mário Frota (PMDB),Deputado Federal,"IMPORTANTE: o deputado é contra a portaria 574 (que foi revogada em 81) - a partir disso, posso buscar entender o jogo parlamentar que envolve as portarias!",https://www.docvirt.com/docreader.net/HemeroIndioRecortes/3459
26/04/2023 20:51:38,Porantim Ano IIINo. 26,AM,Transferência favorece exploração mineral - Remoção do entrave,01/02/1981,Não consta,Waimiri; Sateré-Munduruku; P.I. Laranjal no Baixo Madeira; Camanaú; ,Timbó-Paranapanema;,Não,,Não,,,FUNAI faz estudos para liberar certidão para o grupo Timbó-Paranpanema;,https://www.docvirt.com/docreader.net/HemeroIndio/3303
17/04/2023 10:06:47,Aconteceu Especial no.10 ,SP,Nambiquara,01/01/1981,Não consta,Nambiquara; ,Sorana Comercial e Importadora S.A,,,Sim,,,"Mesmo com certidão negativa, o TRF reincorporou terras à área Nambiquara.",https://www.docvirt.com/docreader.net/HemeroIndio/6399
17/04/2023 10:16:04,Aconteceu (ISA) - no.10 ,SA,COTRIJUÍ,01/01/1981,Não consta,Araras,COTRIJUÍ; Rubem Iljennfritz,Não,,Sim,Rubem Iljennfritz,Presidente da COTRIJUÍ,,https://www.docvirt.com/docreader.net/HemeroIndio/6407
24/05/2023 17:40:59,A Notícia,,,23/12/1980,,Waimiri-Atroari,Grupo Timbo - Paranapanema,Não,,Não,,,Funai faz estudos para emitir certidão negativa para grupo TImbo-Paranapanema,https://www.docvirt.com/docreader.net/HemeroIndioRecortes/2837
24/05/2023 17:59:56,O Estado do Amazonas,AM,Índios voltam a atacar,13/12/1980,,Waimiri-Atroari,Paranapanema,Não,,Sim,Egidio Schwade,Missionário,,https://www.docvirt.com/docreader.net/HemeroIndioRecortes/2844
26/04/2023 20:29:30,Porantim Ano III No. 24,AM,Indígenas enquadrados na Lei de Segurança Nacional,01/11/1980,Não consta,União Nacional Indígena (UNÍ),Conselho de Segurança Nacional; INCRA;,Não,,Não,,,"INDÍCIO RELEVANTE - Fala-se de documento interministerial produzido pelo CSN, em que se admitem os erros das certidões , mas fala-se em prejuízo dos invasores.",https://www.docvirt.com/docreader.net/HemeroIndio/3264
26/04/2023 20:35:11,Porantim Ano III No. 24,AM,Os Gorotire dizem basta a invasão capitalista,01/11/1980,Não consta,Gorotire; Kayapó; ,Andrade Gutierrez; Volkswagen; BRADESCO; Frigorífico ATLAS (alemão); Instituto de Terras do Pará; Filho de Mário Andreazza (dirigente do BRADESCO); Cel. Nobre da Veiga;,Não,,Não,,,"As empresas se instalaram na fronteira leste da reserva munidas de certidões negativas; O presidente da FUNAI, Nobre da Veiga, acha absurda a postura dos Gorotire;",https://www.docvirt.com/docreader.net/HemeroIndio/3266
26/04/2023 11:56:03,Porantim Ano III No. 22,AM,O fazendeiro enganou. Peão não sabia que a terra era de índio - Fazendeiros de Bang Bang jogam a culpa na FUNAI - Culpa da FUNAI,01/09/1980,Não consta,P.I. do Xingu;,Helio Russo (fazendeiro paulista); Luis Carlos (fazendeiro); Nobre da Veiga;,Não,,Sim,Hélio Russo; Nobre da Veiga,Fazendeiro; Presidente FUNAI,"DOC RELEVANTE - MENCIONA CONFLITO E INDICA A CERTIDÃO NEGATIVAConflito com mortes entre indígenas do PI Xingu e fazendeiros/jagunços. Hélio Russo apresenta uma certidão negativa (no. 27, de 1973); Nobre da Veiga afirma ""vamos acabar com essa história dos índios estarem exigindo tudo"";",https://www.docvirt.com/docreader.net/HemeroIndio/3224
26/04/2023 12:22:22,Porantim Ano III No. 22,AM,Correio Braziliense,01/09/1980,Não consta,Txucarramãe; P.I. Xingu;,,Não,,Não,,,"PROCURAR A REPORTAGEM DO CB: A nota faz referência a reportagem do Correio Braziliense de 16 de Agosto de1980 (intitulada ""FUNAI não atendeu aos Txucarramãe"") que traz certidão negativa como exemplo de conflito;",https://www.docvirt.com/docreader.net/HemeroIndio/3239
24/05/2023 17:38:35,Correio Braziliense,DF,O perigo dos conflitos interétnicos,08/07/1980,,Paresi; ,Sudamata,Não,,Sim,Rafael José de Menezes Bastos,Antropólogo,,https://www.docvirt.com/docreader.net/HemeroIndioRecortes/2489
20/04/2023 11:21:29,Jornal do Brasil (in: Boletim Comissão Pró-Índio no.3),RJ (JB),"""A terra é tão ruim que não nasce nem minhoca""",27/04/1980,Memélia Moreira,Nambiquara; Vale do Guaporé;,,Não,,Não,,,,https://www.docvirt.com/docreader.net/HemeroIndio/5729
13/04/2023 19:04:42,Diário de Cuiabá,MT,Xavantes vão anexar por conta própria mais de 40 mil Ha à Reserva de Sangradouro,15/03/1980,Não consta,Xavante; Sangradouro; Parabure;,Sindicato Rural de Barra do Garças,Não,,Sim,Adilson José de Barros,Presidente do Sindicato Rural de Barra do Garças,Xavantes tentam ampliar área indígena,https://www.docvirt.com/docreader.net/AcervPeI/966
13/04/2023 18:49:35,Revista Agroeste,Não consta,Prostituição,01/03/1980,Não consta,Merure,Manoel Borges da Silva - Manoel Preto,Não,,Sim,Manoel Preto,Fazendeiro,"Chacina de Merure, 15 de julho de 1956",
13/04/2023 18:54:03,Revista Agroeste,Não consta,"""Memorial"" (deduzido do próprio texto)",01/03/1980,Não consta,Não consta,Não consta,Não,,Não,,,"O texto é endereçado a um presidente, reclamando há muitas terras indígenas sendo demarcadas em Barra do Garças",https://www.docvirt.com/docreader.net/AcervPeI/948
13/04/2023 18:57:31,Revista Agroeste,Não consta,A FUNAI tornou-se a estranguladora do nosso progresso,01/03/1980,Não consta,Xavante,Não consta,Não,,Não,,,Doação de terras pelo estado do MT ao SPI e depois redução progressiva dessas terras,https://www.docvirt.com/docreader.net/AcervPeI/950
13/04/2023 19:10:16,Correio do Povo,RS (provável),Terras indígenas não são demarcadas e conflitos com brancos é iminente em cinco estados,03/02/1980,Memélia Moreira,Potiguara ,Destilaria Santo Antônio,Não,,Não,,,"A destilaria tem certidão negativa, de 1978; Dimas Valencisi (chefe do posto) permite invasão de grileiros",https://www.docvirt.com/docreader.net/AcervPeI/981
13/04/2023 19:18:00,Folha de São Paulo,SP,outro lado do problema indígena,13/01/1980,José Calixto de Alencar,Merure,Manoel Preto e Irmãos Pizziato,Não,,Sim,Manoel Preto,Fazendeiro,Chacina do Merure,https://www.docvirt.com/docreader.net/AcervPeI/984
13/04/2023 19:31:48,Folha de São Paulo,SP,"O outro lado do problema indígena - ""Uma máfia""",13/01/1980,José Calixto de Alencar,Xavante,José Vergetti; Costa Cavalcanti; General Cintra e Evandro;,Não,,Sim,José Vergetti,"Taxista, ex-fazendeiro",Vergetti alega ter perdido 10mil Ha;,https://www.docvirt.com/docreader.net/AcervPeI/985
